83910,Caceres,ESP,2,39.47,-6.33,1,405,SWEC,,,,,,,,,1.047197551,
Año,mes,día,hora,GHI,DNI,DHI,T seca,T humeda,Presión,Wdir,Wspd,Alb,Topocentric sun declination,Topocentric local hour angle,Azimut,Elevacion,Topocentric zenith angle,Top. azimuth angle (westward from S)
1989,1,3,20,0,0,0,7.2,6.7,96512,999,0.7,0.16,-22.74137,97.487168,76.447692,-19.849903,109.849903,76.447692
1989,1,3,21,0,0,0,6.1,6.1,96512,0,0,0.16,-22.736871,112.482279,85.190554,-31.217644,121.217644,85.190554
1989,1,3,22,0,0,0,6.1,6,96512,40,1.5,0.16,-22.732379,127.477263,94.815084,-42.731585,132.731585,94.815084
1989,1,3,23,0,0,0,6.1,5.8,96512,999,1.7,0.16,-22.727905,142.472138,106.889484,-54.043314,144.043314,106.889484
1989,1,3,24,0,0,0,5.6,5.6,96512,999,1.9,0.16,-22.723457,157.466931,125.018979,-64.430288,154.430288,125.018979
1989,1,4,1,0,0,0,5,5,96512,50,2.1,0.16,-22.719043,172.461672,157.185935,-71.814768,161.814768,157.185935
1989,1,4,2,0,0,0,5,5,96512,999,2.3,0.16,-22.714666,187.456397,202.580138,-71.834932,161.834932,202.580138
1989,1,4,3,0,0,0,5,4.8,96512,40,2.6,0.16,-22.710326,202.451144,234.832113,-64.472227,154.472227,234.832113
1989,1,4,4,0,0,0,5,4.8,96512,999,1.9,0.16,-22.706019,217.445949,253.003081,-54.090358,144.090358,253.003081
1989,1,4,5,0,0,0,5,4.8,96512,999,1.3,0.16,-22.701738,232.440842,265.092963,-42.777266,132.777266,265.092963
1989,1,4,6,0,0,0,5,5,96512,999,0.6,0.16,-22.697476,247.43585,274.722,-31.258446,121.258446,274.722
1989,1,4,7,0,0,0,5,5,96512,0,0,0.16,-22.69322,262.430992,283.463798,-19.882889,109.882889,283.463798
1989,1,4,8,0,0,0,5,5,96512,999,0.9,0.16,-22.688957,277.426277,292.172173,-8.91223,98.91223,292.172173
1989,1,4,9,15,0,15,5,5,96512,999,1.8,0.16,-22.684674,292.421705,301.44544,1.669159,88.330841,301.44544
1989,1,4,10,91,0,91,5.6,5.6,96512,999,2.7,0.16,-22.68036,307.417267,311.787464,10.710988,79.289012,311.787464
1989,1,4,11,217,479,65,6.7,6.5,96512,60,3.6,0.16,-22.676002,322.412944,323.618663,18.449465,71.550535,323.618663
1989,1,4,12,340,618,86,7.8,7,96512,999,2.3,0.16,-22.671591,337.408711,337.146509,24.152028,65.847972,337.146509
1989,1,4,13,425,719,95,10,7.2,96512,60,1,0.16,-22.66712,352.404535,352.118857,27.21725,62.78275,352.118857
1989,1,4,14,454,753,108,11.7,7.4,96512,999,1,0.16,-22.662587,7.40038,7.680608,27.242032,62.757968,7.680608
1989,1,4,15,422,716,128,12.8,7.6,96512,999,1,0.16,-22.657991,22.396211,22.671545,24.222831,65.777169,22.671545
1989,1,4,16,337,618,140,12.8,7.6,96512,230,1,0.16,-22.653336,37.391991,36.228064,18.557717,71.442283,36.228064
1989,1,4,17,217,476,128,12.2,7.6,96512,250,0.5,0.16,-22.648628,52.387689,48.088968,10.84669,79.15331,48.088968
1989,1,4,18,88,0,88,11.7,7.6,96512,999,0.7,0.16,-22.643876,67.383278,58.456884,1.814409,88.185591,58.456884
1989,1,4,19,15,0,0,10.6,7.4,96512,210,1,0.16,-22.639092,82.37874,67.750895,-8.741698,98.741698,67.750895
1989,1,4,20,0,0,0,10,7.2,96512,999,0.7,0.16,-22.634289,97.374065,76.474901,-19.702594,109.702594,76.474901
1989,1,4,21,0,0,0,8.9,6.7,96512,999,0.3,0.16,-22.629479,112.369253,85.226884,-31.071215,121.071215,85.226884
1989,1,4,22,0,0,0,8.9,6.5,96512,0,0,0.16,-22.624675,127.364315,94.857738,-42.585034,132.585034,94.857738
1989,1,4,23,0,0,0,7.8,6,96512,999,0,0.16,-22.619889,142.359267,106.929024,-53.89508,143.89508,106.929024
1989,1,4,24,0,0,0,7.2,5.8,96512,999,0,0.16,-22.615129,157.354137,125.014023,-64.280078,154.280078,125.014023
1989,1,5,1,0,0,0,7.2,5.3,96512,0,0,0.16,-22.610403,172.348955,156.984359,-71.678259,161.678259,156.984359
1989,1,5,2,0,0,0,6.7,5.1,96512,999,0,0.16,-22.605714,187.343758,202.153912,-71.76456,161.76456,202.153912
1989,1,5,3,0,0,0,6.7,4.8,96512,999,0,0.16,-22.601061,202.338583,234.48304,-64.462679,154.462679,234.48304
