date;DNI;SF_POWER;IDP_POWER;SF_MF;IDP_T_OUT;SF_T_IN;SF_T_OUT;IDP_T_IN;COLD_PIPE_LOSSES;HOT_PIPE_LOSSES;;;;;;
05/01/2016 14:00;492,2682894;60,29088736;57,73780542;393,3217238;515,4253978;513,3791804;581,3026437;580,4758763;-1,487254729;-1,065827214;;;;;;
05/01/2016 15:00;205,1021653;37,28955062;60,92686052;443,0625785;524,8783788;523,5971832;561,1097128;585,2904235;-0,947423478;24,58473338;;;;;;
05/01/2016 16:00;0,881149117;-11,68983655;40,18376425;354,3798633;511,8900361;514,57706;499,2000954;562,7955433;2,288440453;49,58516035;;;;;;
05/01/2016 17:00;0,257686317;-8,433546293;16,60668586;253,3766601;491,2051489;495,3242668;479,3952106;521,7935778;2,356618261;22,68361389;;;;;;
05/01/2016 18:00;0,2172115;-7,144704574;5,757626242;271,9358631;482,8270068;481,7074723;468,9227319;492,952063;-0,461714481;13,3640453;;;;;;
05/01/2016 19:00;0,244285833;-7,144535951;7,611089586;225,6302538;474,1763474;477,9576272;462,4389595;490,4286408;1,897717183;12,85790835;;;;;;
05/01/2016 20:00;0,242175717;-5,979243658;8,631485347;226,6069849;471,511557;467,9938297;454,9021237;489,9027327;-1,481600526;16,09232953;;;;;;
05/01/2016 21:00;0,258190733;-5,709431465;9,79034071;225,722059;468,3701538;461,0684564;448,3987306;489,3643402;-3,192850668;18,69262284;;;;;;
05/01/2016 22:00;0,302265683;-5,404167831;11,6881666;225,9064332;463,5293041;454,1315628;442,0354007;488,6667707;-4,11687898;21,20921341;;;;;;
05/01/2016 23:00;0,3088601;-5,112720927;14,07683975;228,7967222;457,8644786;447,6118047;436,2129845;487,8880522;-4,519419538;23,70898022;;;;;;
06/01/2016 0:00;0,3559631;-4,963772062;16,56208686;231,5254454;451,9421626;441,4513968;430,4217628;487,0125794;-4,638846407;26,16470533;;;;;;
06/01/2016 1:00;0,367604167;-4,726122404;18,80554649;232,143812;446,1228421;435,593046;425,0354565;486,0238098;-4,626142806;28,1578117;;;;;;
06/01/2016 2:00;0,362439733;-4,528505355;20,85919513;231,8058808;440,4193143;429,9829864;419,7737203;484,9497817;-4,535930506;29,92363099;;;;;;
06/01/2016 3:00;0,38609935;-4,299793526;22,8674898;231,9067579;434,7760262;424,5899263;414,8294297;483,8025116;-4,386314478;31,5535978;;;;;;
06/01/2016 4:00;0,4127327;-4,129685297;24,8460846;233,032573;429,3079508;419,4282053;410,0334824;482,5665497;-4,233860659;33,20963056;;;;;;
06/01/2016 5:00;0,368276867;-3,864533397;26,63043539;233,1728986;424,1172565;414,5459826;405,7027887;481,4188707;-4,066019384;34,56098818;;;;;;
06/01/2016 6:00;0,358968433;-3,72522798;28,21882005;234,0634388;419,3481486;409,9327808;401,3876983;480,0946258;-3,982557811;35,92660584;;;;;;
06/01/2016 7:00;0,422368333;-3,520869986;29,80658847;234,6693495;414,5692469;405,5101869;397,4075701;478,8390454;-3,807487879;37,13494634;;;;;;
06/01/2016 8:00;9,885590883;-3,075589928;34,7853538;244,2368456;404,9875393;401,4116161;394,5783368;477,6030836;-1,43478533;39,29572906;;;;;;
06/01/2016 9:00;82,16158957;11,35177865;45,91857985;294,9454905;396,3701787;397,6259165;418,2239406;476,3009094;0,907826101;33,6589751;;;;;;
06/01/2016 10:00;115,0722582;9,716538674;40,5799763;327,978692;412,1178523;403,7954554;419,567885;475,0020051;-4,852605352;35,71604298;;;;;;
06/01/2016 11:00;123,1752386;10,12666851;35,90591326;318,3310282;416,5610926;416,564334;433,1886655;473,760321;0,240114209;25,53913054;;;;;;
06/01/2016 12:00;27,66538135;6,617247174;26,31248739;314,9329992;430,5098609;421,5478332;432,495058;472,5037599;-5,182766693;24,87800691;;;;;;
06/01/2016 13:00;0,797391583;-3,616589594;23,48335724;312,2792319;433,5812637;433,1426143;427,1352417;471,3284515;-0,042542586;27,14248942;;;;;;
06/01/2016 14:00;0,8528138;-4,570222182;25,33371173;312,4998497;429,2141973;430,3194137;422,6941984;470,067694;0,89149143;29,01244248;;;;;;
06/01/2016 15:00;3,72410165;-3,775508957;27,45218359;314,0147429;424,6377076;425,2595521;418,9514818;468,8728764;0,60386983;30,62382272;;;;;;
06/01/2016 16:00;0,329417033;-4,299817473;28,65781269;310,4173889;420,6387593;421,3620522;414,0494612;467,5278687;0,657274485;32,30035568;;;;;;
06/01/2016 17:00;0,291095567;-4,338695959;25,73394752;264,2786972;416,6226543;417,6336609;408,9125724;466,2632363;0,70339545;29,36924803;;;;;;
06/01/2016 18:00;0,3048227;-3,670127158;23,16438776;227,428503;413,009368;413,1763449;404,5506837;465,1085876;0,242873092;26,59164183;;;;;;
06/01/2016 19:00;0,287058133;-3,587778208;23,88835073;229,6698758;410,640441;408,4189538;400,0148621;463,9756225;-0,781582881;28,25771182;;;;;;
06/01/2016 20:00;0,207925333;-3,525965207;24,32851683;228,7125104;408,1574812;404,1065629;395,7633111;462,8426603;-1,552965795;29,40744783;;;;;;
06/01/2016 21:00;0,2415701;-3,438517694;25,42630171;230,7817749;404,9485112;399,686955;391,5756058;461,7611909;-2,075051285;30,93987069;;;;;;
