;Wspd;Wdir;DryBulb;DNI;Pressure
10/01/1989 8:00;2,8;999;5,6;0;1009,15
10/01/1989 9:00;3,6;70;6,1;0;1009,15
10/01/1989 10:00;2,1;20;6,7;523;1009,15
10/01/1989 11:00;2,4;999;8,3;656;1009,15
10/01/1989 12:00;2,8;999;10;738;1009,15
10/01/1989 13:00;3,1;60;12,8;782;1009,15
10/01/1989 14:00;2,6;60;15,6;798;1009,15
10/01/1989 15:00;2,8;999;17,2;785;1009,15
10/01/1989 16:00;3,1;70;17,8;738;1009,15
10/01/1989 17:00;2,1;999;17,8;659;1009,15
10/01/1989 18:00;1;999;16,7;529;1009,15
10/01/1989 19:00;0;0;14,4;0;1009,15
10/01/1989 20:00;0,4;999;13,3;0;1009,15
10/01/1989 21:00;0,7;999;11,7;0;1009,15
10/01/1989 22:00;1;999;10,6;0;1009,15
10/01/1989 23:00;1,4;999;10;0;1009,15
11/01/1989 0:00;1,7;999;8,9;0;1009,15
11/01/1989 1:00;2,1;50;8,3;0;1009,15
11/01/1989 2:00;2,1;999;7,8;0;1009,15
11/01/1989 3:00;2,1;999;7,2;0;1009,15
11/01/1989 4:00;2,1;20;7,2;0;1009,15
11/01/1989 5:00;2,1;999;6,7;0;1009,15
11/01/1989 6:00;2,1;40;6,1;0;1009,15
11/01/1989 7:00;1,9;999;5,6;0;1009,15
11/01/1989 8:00;1,8;999;5;0;1009,15
11/01/1989 9:00;1,6;999;5;0;1009,15
11/01/1989 10:00;1,5;40;5,6;324;1009,15
11/01/1989 11:00;1,9;999;7,2;397;1009,15
11/01/1989 12:00;2,2;999;10;391;1009,15
11/01/1989 13:00;2,6;70;12,2;413;1009,15
11/01/1989 14:00;2,1;999;15,6;429;1009,15
11/01/1989 15:00;1,5;999;17,2;429;1009,15
11/01/1989 16:00;1;50;17,8;337;1009,15
11/01/1989 17:00;1;999;17,8;214;1009,15
11/01/1989 18:00;1;999;16,7;350;1009,15
11/01/1989 19:00;1;300;14,4;0;1009,15
11/01/1989 20:00;1;60;12,8;0;1009,15
11/01/1989 21:00;0,5;999;11,7;0;1009,15
11/01/1989 22:00;0;0;10,6;0;1009,15
11/01/1989 23:00;0;0;9,4;0;1009,15
12/01/1989 0:00;0;999;8,9;0;1009,15
12/01/1989 1:00;0;0;7,8;0;1009,15
12/01/1989 2:00;0;999;7,2;0;1009,15
12/01/1989 3:00;0;999;7,2;0;1009,15
12/01/1989 4:00;0;0;7,2;0;1009,15
12/01/1989 5:00;0;999;7,2;0;1009,15
12/01/1989 6:00;0;999;7,2;0;1009,15
12/01/1989 7:00;0;0;6,7;0;1009,15
12/01/1989 8:00;0;999;6,1;0;1009,15
12/01/1989 9:00;0;0;6,1;0;1009,15
12/01/1989 10:00;0;0;7,2;523;1009,15
12/01/1989 11:00;0;999;8,9;656;1009,15
12/01/1989 12:00;0;999;10,6;741;1009,15
12/01/1989 13:00;0;0;13,3;785;1009,15
12/01/1989 14:00;0,7;999;16,1;801;1009,15
12/01/1989 15:00;1,4;999;17,8;788;1009,15
12/01/1989 16:00;2,1;50;18,3;744;1009,15
12/01/1989 17:00;1,9;999;17,8;662;1009,15
12/01/1989 18:00;1,7;999;16,7;533;1009,15
12/01/1989 19:00;1,5;50;15;0;1009,15
12/01/1989 20:00;2;999;13,9;0;1009,15
12/01/1989 21:00;2,6;40;12,2;0;1009,15
12/01/1989 22:00;2,1;40;11,1;0;1009,15
12/01/1989 23:00;3,1;999;10;0;1009,15
13/01/1989 0:00;4,1;999;9,4;0;1009,15
13/01/1989 1:00;5,1;70;8,9;0;1009,15
13/01/1989 2:00;5,5;999;8,9;0;1009,15
13/01/1989 3:00;5,8;999;8,3;0;1009,15
13/01/1989 4:00;6,2;70;8,3;0;1009,15
13/01/1989 5:00;3,6;999;8,3;0;1009,15
13/01/1989 6:00;1;20;7,8;0;1009,15
13/01/1989 7:00;2,1;70;7,2;0;1009,15
13/01/1989 8:00;3,6;999;7,2;0;1009,15
13/01/1989 9:00;5,2;999;7,2;0;1009,15
13/01/1989 10:00;6,7;60;7,8;523;1009,15
13/01/1989 11:00;7,6;999;9,4;659;1009,15
13/01/1989 12:00;8,4;999;11,7;741;1009,15
13/01/1989 13:00;9,3;70;13,9;788;1009,15
13/01/1989 14:00;8,7;70;16,1;804;1009,15
13/01/1989 15:00;8,2;999;17,8;788;1009,15
13/01/1989 16:00;7,7;90;18,3;744;1009,15
13/01/1989 17:00;6,2;999;18,3;665;1009,15
13/01/1989 18:00;4,6;999;17,2;536;1009,15
13/01/1989 19:00;3,1;90;15,6;0;1009,15
13/01/1989 20:00;3,1;999;13,9;0;1009,15
13/01/1989 21:00;3,1;999;12,8;0;1009,15
13/01/1989 22:00;3,1;60;11,7;0;1009,15
13/01/1989 23:00;3,1;999;11,1;0;1009,15
14/01/1989 0:00;3,1;999;10,6;0;1009,15
14/01/1989 1:00;3,1;60;10;0;1009,15
14/01/1989 2:00;2,6;60;9,4;0;1009,15
14/01/1989 3:00;2,9;999;8,9;0;1009,15
14/01/1989 4:00;3,2;999;8,9;0;1009,15
14/01/1989 5:00;3,5;999;8,3;0;1009,15
14/01/1989 6:00;3,8;999;7,8;0;1009,15
14/01/1989 7:00;4,1;40;7,2;0;1009,15
14/01/1989 8:00;4,1;70;6,7;0;1009,15
14/01/1989 9:00;4,1;999;6,7;0;1009,15
14/01/1989 10:00;4,1;60;7,8;523;1009,15
14/01/1989 11:00;4,3;999;9,4;662;1009,15
14/01/1989 12:00;4,4;999;11,7;744;1009,15
14/01/1989 13:00;4,6;50;14,4;788;1009,15
14/01/1989 14:00;4,1;999;17,2;804;1009,15
14/01/1989 15:00;3,6;999;18,9;791;1009,15
14/01/1989 16:00;3,1;60;19,4;747;1009,15
14/01/1989 17:00;2,4;999;19,4;668;1009,15
14/01/1989 18:00;1,7;999;17,8;539;1009,15
14/01/1989 19:00;1;50;15,6;0;1009,15
14/01/1989 20:00;1;999;14,4;0;1009,15
14/01/1989 21:00;1;999;13,3;0;1009,15
14/01/1989 22:00;1;80;12,2;0;1009,15
14/01/1989 23:00;1;999;11,1;0;1009,15
15/01/1989 0:00;1;999;10,6;0;1009,15
15/01/1989 1:00;1;50;9,4;0;1009,15
15/01/1989 2:00;2;999;8,9;0;1009,15
15/01/1989 3:00;3,1;999;8,9;0;1009,15
15/01/1989 4:00;4,1;40;8,3;0;1009,15
15/01/1989 5:00;4,4;999;7,8;0;1009,15
15/01/1989 6:00;4,8;999;7,2;0;1009,15
15/01/1989 7:00;5,1;60;7,2;0;1009,15
15/01/1989 8:00;4,6;999;6,7;0;1009,15
15/01/1989 9:00;4,1;999;6,1;0;1009,15
15/01/1989 10:00;3,6;30;7,2;523;1009,15
15/01/1989 11:00;5,1;60;8,9;662;1009,15
15/01/1989 12:00;5,1;999;11,1;744;1009,15
15/01/1989 13:00;5,1;60;13,3;788;1009,15
15/01/1989 14:00;4,1;999;15,6;804;1009,15
15/01/1989 15:00;3,1;999;17,2;791;1009,15
15/01/1989 16:00;2,1;80;17,8;750;1009,15
15/01/1989 17:00;1,4;999;17,8;671;1009,15
15/01/1989 18:00;0,7;999;16,7;542;1009,15
15/01/1989 19:00;0;0;15;0;1009,15
15/01/1989 20:00;0;999;13,3;0;1009,15
15/01/1989 21:00;0;999;12,2;0;1009,15
15/01/1989 22:00;0;0;11,7;0;1009,15
15/01/1989 23:00;0;0;10,6;0;1009,15
16/01/1989 0:00;0;999;9,4;0;1009,15
16/01/1989 1:00;0;0;8,9;0;1009,15
16/01/1989 2:00;0,7;999;8,9;0;1009,15
16/01/1989 3:00;1,5;999;8,3;0;1009,15
16/01/1989 4:00;1,5;60;7,8;0;1009,15
16/01/1989 5:00;1;999;7,8;0;1009,15
16/01/1989 6:00;0,5;999;7,2;0;1009,15
16/01/1989 7:00;0;0;6,7;0;1009,15
16/01/1989 8:00;0;0;6,7;0;1009,15
16/01/1989 9:00;0;999;6,1;0;1009,15
16/01/1989 10:00;0;0;6,7;56;1009,15
16/01/1989 11:00;0;999;7,8;44;1009,15
16/01/1989 12:00;0;999;8,9;37;1009,15
16/01/1989 13:00;0;0;10,6;34;1009,15
16/01/1989 14:00;0;0;12,2;37;1009,15
16/01/1989 15:00;1,5;999;13,3;47;1009,15
16/01/1989 16:00;3,1;280;13,9;56;1009,15
16/01/1989 17:00;1,5;260;13,3;44;1009,15
16/01/1989 18:00;1,8;999;12,8;56;1009,15
16/01/1989 19:00;2,1;230;11,7;0;1009,15
16/01/1989 20:00;2,1;999;11,1;0;1009,15
16/01/1989 21:00;2,1;999;10;0;1009,15
16/01/1989 22:00;2,1;210;9,4;0;1009,15
16/01/1989 23:00;2,1;999;8,3;0;1009,15
17/01/1989 0:00;2,1;999;8,3;0;1009,15
17/01/1989 1:00;2,1;220;7,8;0;1009,15
17/01/1989 2:00;2,1;999;7,8;0;1009,15
17/01/1989 3:00;2,1;999;7,8;0;1009,15
17/01/1989 4:00;2,1;190;7,2;0;1009,15
17/01/1989 5:00;3,1;180;7,2;0;1009,15
17/01/1989 6:00;2;999;6,7;0;1009,15
17/01/1989 7:00;1;210;6,7;0;1009,15
17/01/1989 8:00;2,1;190;6,1;0;1009,15
17/01/1989 9:00;2,1;999;6,1;0;1009,15
17/01/1989 10:00;2,1;190;7,2;517;1009,15
17/01/1989 11:00;4,1;999;8,3;662;1009,15
17/01/1989 12:00;6,2;999;10;744;1009,15
17/01/1989 13:00;8,2;210;11,7;791;1009,15
17/01/1989 14:00;6,7;200;12,8;807;1009,15
17/01/1989 15:00;8,2;200;14,4;794;1009,15
17/01/1989 16:00;6,7;200;15;750;1009,15
17/01/1989 17:00;6,9;999;15;675;1009,15
17/01/1989 18:00;7;999;13,9;542;1009,15
17/01/1989 19:00;7,2;180;12,8;0;1009,15
17/01/1989 20:00;6,9;999;11,7;0;1009,15
17/01/1989 21:00;6,7;190;10,6;0;1009,15
17/01/1989 22:00;7,7;210;10;0;1009,15
17/01/1989 23:00;8,7;999;9,4;0;1009,15
18/01/1989 0:00;9,8;999;8,9;0;1009,15
18/01/1989 1:00;10,8;210;8,9;0;1009,15
18/01/1989 2:00;10,6;999;8,3;0;1009,15
18/01/1989 3:00;10,5;999;8,3;0;1009,15
18/01/1989 4:00;10,3;220;8,3;0;1009,15
18/01/1989 5:00;5,1;220;7,8;0;1009,15
18/01/1989 6:00;5,1;999;7,2;0;1009,15
18/01/1989 7:00;5,1;220;7,2;0;1009,15
18/01/1989 8:00;5,1;999;7,2;0;1009,15
18/01/1989 9:00;5,1;999;7,2;0;1009,15
18/01/1989 10:00;5,1;230;7,8;208;1009,15
18/01/1989 11:00;7,2;280;8,9;280;1009,15
18/01/1989 12:00;6,2;320;10,6;583;1009,15
18/01/1989 13:00;7,2;320;12,8;586;1009,15
18/01/1989 14:00;6,5;999;14,4;264;1009,15
18/01/1989 15:00;5,8;999;16,1;154;1009,15
18/01/1989 16:00;5,1;310;16,7;328;1009,15
18/01/1989 17:00;4,4;999;16,1;615;1009,15
18/01/1989 18:00;3,8;999;15,6;580;1009,15
18/01/1989 19:00;3,1;320;14,4;0;1009,15
18/01/1989 20:00;3,1;999;13,3;0;1009,15
18/01/1989 21:00;3,1;310;12,2;0;1009,15
18/01/1989 22:00;2,3;999;11,1;0;1009,15
18/01/1989 23:00;1,5;999;10,6;0;1009,15
19/01/1989 0:00;0,8;999;10;0;1009,15
19/01/1989 1:00;0;0;9,4;0;1009,15
19/01/1989 2:00;0,5;999;9,4;0;1009,15
19/01/1989 3:00;1;999;8,9;0;1009,15
19/01/1989 4:00;1,5;110;8,9;0;1009,15
19/01/1989 5:00;1,5;110;8,9;0;1009,15
19/01/1989 6:00;1,5;20;8,3;0;1009,15
19/01/1989 7:00;1,5;999;7,8;0;1009,15
19/01/1989 8:00;1,5;999;7,8;0;1009,15
19/01/1989 9:00;1,5;270;7,8;0;1009,15
19/01/1989 10:00;3,3;999;8,9;337;1009,15
19/01/1989 11:00;4,1;999;10;283;1009,15
19/01/1989 12:00;3,4;999;12,2;315;1009,15
19/01/1989 13:00;3,7;999;14,4;403;1009,15
19/01/1989 14:00;3,1;999;17,2;539;1009,15
19/01/1989 15:00;2,5;999;18,9;697;1009,15
19/01/1989 16:00;1,9;999;19,4;640;1009,15
19/01/1989 17:00;1,6;999;18,9;577;1009,15
19/01/1989 18:00;1,3;999;17,8;347;1009,15
19/01/1989 19:00;1;50;16,1;0;1009,15
19/01/1989 20:00;1,4;999;15;0;1009,15
19/01/1989 21:00;1,7;999;13,9;0;1009,15
19/01/1989 22:00;2,1;180;12,2;0;1009,15
19/01/1989 23:00;1,4;999;11,7;0;1009,15
20/01/1989 0:00;0,7;999;11,1;0;1009,15
20/01/1989 1:00;0;0;10,6;0;1009,15
20/01/1989 2:00;0,3;999;10;0;1009,15
