"Time stamp";"Field HTF mass flow rate total | (kg/s)";"Field HTF temperature cold header inlet | (C)";"Field HTF temperature hot header outlet | (C)";"Field collector DNI-cosine product | (W/m2)";"Field collector fraction of time period tracking";"Field collector incidence angle modifier";"Field collector optical end loss";"Field collector row shadowing loss";"Field collector solar incidence angle | (deg)";"Field collector thermal and optical efficiency";"Field collector tracking angle | (deg)";"Field thermal power absorbed | (MWt)";"Field thermal power incident after cosine | (MWt)";"Field thermal power pipe losses | (MWt)";"Field thermal power receiver heat loss | (kJ/hr-m2)";"Field thermal power receiver total loss | (MWt)";"Field thermal power total incident | (MWt)";"Field thermal power total produced | (MWt)";"Resource Pressure | (mbar)";"Resource Solar Azimuth | (deg)";"Resource Solar Zenith | (deg)";"Resource Wet bulb temperature | (C)";"Resource Wind Speed | (m/s)";"Resource Dry bulb temperature | (C)";"Resource Beam normal irradiance | (W/m2)";"System power generated | (kW)";"Cycle electrical power output (gross) | (MWe)";"Cycle electrical power output (gross; solar share) | (MWe)";"Cycle electrical power output (net) | (MWe)";"Cycle thermal energy dumped - TES is full | (MWt)";"Cycle thermal energy dumped - min, load requirement | (MWt)";"Cycle thermal energy dumped - solar field | (MWt)";"Cycle thermal power input | (MWt)";"Field collector cosine efficiency";"Parasitic power total consumption | (MWe)"
"Jan 2; 04:00 am";0;50,001;49,999;0;0;1,00305;0,998786;0;4,90855;0;0;0;0;0,184706;0,905833;0,355449;0;0;999;82,9155;135,659;5,90625;4;7;0;-355,488;0;0;-0,3703;0;0;0;0;0,996333;0,3703
"Jan 2; 05:00 am";0;50,001;49,999;0;0;1,00175;0,999433;0;2,29735;0;0;0;0;0,185677;0,915737;0,359335;0;0;999;92,7867;124,052;5,58437;4,7;6,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,999196;0,3703
"Jan 2; 06:00 am";0;50,001;49,999;0;0;1,00339;0,997361;0;10,5695;0;0;0;0;0,186398;0,927794;0,364066;0;0;999;101,489;112,527;5,28438;3,7;6,3;0;-355,488;0;0;-0,3703;0;0;0;0;0,983033;0,3703
"Jan 2; 07:00 am";0;50,001;49,999;0;0;0,996533;0,994977;0;19,5554;0;0;0;0;0,187114;0,934532;0,366711;0;0;999;109,992;101,344;4,98438;4,5;6;0;-355,488;0;0;-0,3703;0;0;0;0;0,942318;0,3703
"Jan 2; 08:00 am";0;50,001;49,999;0;0;0,977847;0,992996;0;28,9262;0;0;0;0;0,187114;0,94027;0,368962;0;0;999;118,933;90,7653;4,98438;2,6;6;0;-355,488;0;0;-0,3703;0;0;0;0;0,875244;0,3703
"Jan 2; 09:00 am";0;50,001;49,999;3,93583;0,563144;0,943797;0,99218;0,647592;38,0785;0;-76,7531;0,399172;1,54442;0,186159;0,927987;0,364142;1,962;0;999;128,831;81,5687;5,38438;2,8;6,4;5;-355,488;0;0;-0,3703;0;0;0;0;0,787166;0,3703
"Jan 2; 10:00 am";inf;293;393;136,945;1;0,884282;0,991116;1;47,3169;0,219563;-64,875;35,6446;53,737;4,83704;34,1589;13,4039;79,2648;17,4036;999;140,139;73,3162;6,19375;2,7;7,6;202;-368,507;0;0;-0,383862;0;0;0;0;0,677943;0,383862
"Jan 2; 11:00 am";inf;293;393;265,71;1;0,799375;0,989872;1;55,1507;0,242056;-46,634;62,4412;104,265;4,79546;34,3492;13,4786;182,466;44,1671;999;153,152;66,9243;5,5875;3;8,4;465;13342,1;15,6025;15,6025;13,898;0;0;0;42,5815;0,571419;1,70456
"Jan 2; 12:00 pm";inf;293;393;364,888;1;0,707535;0,988679;1;60,587;0,197709;-22,6037;75,8046;143,182;4,72333;34,2472;13,4386;291,553;57,6427;999;167,774;63,0269;6,59688;2,3;9,8;743;19620,8;22,2576;22,2576;20,4383;0;0;0;57,6427;0,491101;1,81929
"Jan 2; 01:00 pm";inf;293;393;167,138;1;0,67693;0,988301;1;61,9989;0,108083;6,22583;33,2078;65,5849;4,69776;34,178;13,4114;139,694;15,0987;999;183,3;62,1162;6,8625;3,3;10,3;356;-365,611;0;0;-0,380845;0;15,0987;0;0;0,469488;0,380845
