"Time stamp";"Field HTF mass flow rate total | (kg/s)";"Field HTF temperature cold header inlet | (C)";"Field HTF temperature hot header outlet | (C)";"Field collector DNI-cosine product | (W/m2)";"Field collector fraction of time period tracking";"Field collector incidence angle modifier";"Field collector optical end loss";"Field collector row shadowing loss";"Field collector solar incidence angle | (deg)";"Field collector thermal and optical efficiency";"Field collector tracking angle | (deg)";"Field thermal power absorbed | (MWt)";"Field thermal power incident after cosine | (MWt)";"Field thermal power pipe losses | (MWt)";"Field thermal power receiver heat loss | (kJ/hr-m2)";"Field thermal power receiver total loss | (MWt)";"Field thermal power total incident | (MWt)";"Field thermal power total produced | (MWt)";"Resource Pressure | (mbar)";"Resource Solar Azimuth | (deg)";"Resource Solar Zenith | (deg)";"Resource Wet bulb temperature | (C)";"Resource Wind Speed | (m/s)";"Resource Dry bulb temperature | (C)";"Resource Beam normal irradiance | (W/m2)";"System power generated | (kW)";"Cycle electrical power output (gross) | (MWe)";"Cycle electrical power output (gross; solar share) | (MWe)";"Cycle electrical power output (net) | (MWe)";"Cycle thermal energy dumped - TES is full | (MWt)";"Cycle thermal energy dumped - min, load requirement | (MWt)";"Cycle thermal energy dumped - solar field | (MWt)";"Cycle thermal power input | (MWt)";"Field collector cosine efficiency";"Parasitic power total consumption | (MWe)"
"Jan 30; 01:00 pm";inf;293;393;404,061;1;0,76881;0,989463;1;57,2048;0,250222;1,50316;91,2849;158,554;4,60652;34,2271;13,4307;292,73;73,2476;999;180,968;56,6944;7,4125;2,1;12,1;746;25702,6;29,1713;29,1713;26,7736;0;0;0;73,2476;0,541637;2,3977
"Jan 30; 02:00 pm";inf;293;393;375,477;1;0,803656;0,989931;1;54,8384;0,276163;27,0452;88,7139;147,337;4,57138;34,3723;13,4877;255,845;70,6548;999;197,76;58,5813;7,56563;3;12,8;652;24623;28,0249;28,0249;25,649;0;0;0;70,6548;0,575885;2,37591
"Jan 30; 03:00 pm";inf;293;393;555,036;1;0,869973;0,990891;1;48,9402;0,373799;48,4014;142,097;217,796;4,56138;34,6387;13,5922;331,578;123,944;999;213,082;63,5716;7,375;2,8;13;845;46591,3;51,3892;51,3892;48,5326;0;0;0;123,944;0,656847;2,85661
"Jan 30; 04:00 pm";inf;293;393;478,346;1;0,928846;0,991885;1;40,9151;0,454001;65,2635;130,882;187,703;4,5814;34,4843;13,5316;248,389;112,769;999;226,341;70,9888;7,2875;2,3;12,6;633;41976,8;46,4753;46,4753;43,7258;0;0;0;112,769;0,75568;2,74947
"Jan 30; 05:00 pm";inf;293;393;414,781;0,57753;0,969796;0,992774;0,65221;31,6022;0,13867;76,6569;44,673;162,76;4,64691;34,471;13,5264;191,099;26,4997;999;237,694;80,1059;6,69063;2,4;11,3;487;6789,54;8,65646;8,65646;7,07244;0;0;0;26,4997;0,851707;1,58402
"Jan 30; 06:00 pm";0;50,001;49,999;1,8497;0;0,992329;0,994185;0;22,3539;0;0;0;0,725824;0,177883;0,831143;0,326141;0,7848;0;999;247,642;89,8244;6,02812;2,8;9,7;2;-355,488;0;0;-0,3703;0;0;0;0;0,924852;0,3703
"Jan 30; 07:00 pm";0;50,001;49,999;0;0;1,00251;0,996755;0;12,9234;0;0;0;0;0,179183;0,84574;0,331868;0;0;999;256,78;101,008;6,46562;2,8;9,2;0;-355,488;0;0;-0,3703;0;0;0;0;0,97467;0,3703
"Jan 30; 08:00 pm";0;50,001;49,999;0;0;1,00263;0,999035;0;3,90227;0;0;0;0;0,180211;0,849572;0,333372;0;0;999;265,743;112,483;6,37813;4,5;8,8;0;-355,488;0;0;-0,3703;0;0;0;0;0,997682;0,3703
"Jan 30; 09:00 pm";0;50,001;49,999;0;0;1,00283;0,998925;0;4,34733;0;0;0;0;0,181228;0,871277;0,341889;0;0;999;275,319;124,091;5,97812;2,4;8,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,997123;0,3703
"Jan 30; 10:00 pm";0;50,001;49,999;0;0;1,00315;0,997145;0;11,4148;0;0;0;0;0,182235;0,878666;0,344788;0;0;999;286,73;135,487;5,96875;3,3;8;0;-355,488;0;0;-0,3703;0;0;0;0;0,98022;0,3703
"Jan 30; 11:00 pm";0;50,001;49,999;0;0;0,999541;0,995696;0;16,9271;0;0;0;0;0,183231;0,888932;0,348817;0;0;999;302,296;146,069;5,88125;3,7;7,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,956676;0,3703
"Jan 31; 12:00 am";0;50,001;49,999;0;0;0,995509;0,994767;0;20,3067;0;0;0;0;0,184217;0,90357;0,354561;0;0;999;326,448;154,444;5,325;3;7,2;0;-355,488;0;0;-0,3703;0;0;0;0;0,937849;0,3703
"Jan 31; 01:00 am";0;50,001;49,999;0;0;0,993905;0,994462;0;21,3858;0;0;0;0;0,184462;0,898072;0,352403;0;0;999;2,13633;157,671;4,99062;5,5;7,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,931146;0,3703
"Jan 31; 02:00 am";0;50,001;49,999;0;0;0,99571;0,994807;0;20,1632;0;0;0;0;0,184706;0,902036;0,353959;0;0;999;36,7935;153,682;5,35938;5,2;7;0;-355,488;0;0;-0,3703;0;0;0;0;0,938715;0,3703
"Jan 31; 03:00 am";0;50,001;49,999;0;0;0,999916;0,995802;0;16,5355;0;0;0;0;0,18495;0,904242;0,354825;0;0;999;59,689;144,935;5,025;5,5;6,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,958643;0,3703
"Jan 31; 04:00 am";0;50,001;49,999;0;0;1,00332;0,997292;0;10,84;0;0;0;0;0,18495;0,909858;0,357028;0;0;999;74,6026;134,207;4,94688;3,7;6,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,982156;0,3703
"Jan 31; 05:00 am";0;50,001;49,999;0;0;1,00248;0,999116;0;3,57761;0;0;0;0;0,18495;0,908182;0,35637;0;0;999;85,7116;122,753;4,79063;4,2;6,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,998051;0,3703
"Jan 31; 06:00 am";0;50,001;49,999;0;0;1,00301;0,998815;0;4,78948;0;0;0;0;0,18495;0,91056;0,357304;0;0;999;95,1601;111,131;5,3375;3,5;6,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,996508;0,3703
"Jan 31; 07:00 am";0;50,001;49,999;0;0;1,00198;0,99651;0;13,8626;0;0;0;0;0,184706;0,910257;0,357185;0;0;999;104,098;99,6716;5,75;2,8;7;0;-355,488;0;0;-0,3703;0;0;0;0;0,970873;0,3703
"Jan 31; 08:00 am";0;50,001;49,999;0;0;0,990689;0,993914;0;23,2843;0;0;0;0;0,184706;0,909462;0,356873;0;0;999;113,286;88,793;5,82813;3;7;0;-355,488;0;0;-0,3703;0;0;0;0;0,918554;0,3703
"Jan 31; 09:00 am";0;50,001;49,999;73,3577;0,72733;0,9667;0,992695;0,702166;32,5213;0,297116;-75,6137;10,6772;28,7856;0,183478;0,893357;0,350553;34,1388;10,1432;999;123,354;78,8974;6,32813;4;7,5;87;-355,488;0;0;-0,3703;0;0;0;0;0,843192;0,3703
"Jan 31; 10:00 am";0;50,001;49,999;5,97979;1;0,92468;0,991808;1;41,6279;0,35294;-63,1139;1,62869;2,34647;0,181228;0,865216;0,339511;3,1392;1,10795;999;134,897;69,8992;7,30625;3,7;8,4;8;-355,488;0;0;-0,3703;0;0;0;0;0,747474;0,3703
"Jan 31; 11:00 am";0;50,001;49,999;3,25261;1;0,86547;0,990822;1;49,419;0,162433;-45,8997;0,828348;1,27632;0,179183;0,84218;0,330471;1,962;0,318693;999;148,405;62,6743;7,16875;3,5;9,2;5;-355,488;0;0;-0,3703;0;0;0;0;0,650522;0,3703
"Jan 31; 12:00 pm";0;50,001;49,999;1,14761;1;0,801669;0,989903;1;54,9842;0;-24,1943;0,270467;0,45032;0,177358;0,824063;0,323362;0,7848;0;999;163,979;57,9591;7,24375;3;9,9;2;-355,488;0;0;-0,3703;0;0;0;0;0,573803;0,3703
"Jan 31; 01:00 pm";0;50,001;49,999;61,0902;1;0,772927;0,989517;1;56,9447;0,304616;1,43038;13,8761;23,9718;0,174423;0,800519;0,314124;43,9488;13,3875;999;180,931;56,415;9,20313;2;11;112;-355,488;0;0;-0,3703;0;0;0;0;0,545448;0,3703
"Jan 31; 02:00 pm";inf;293;393;259,543;1;0,806915;0,989976;1;54,596;0,24896;26,8564;61,5736;101,845;4,55639;33,7699;13,2513;175,795;43,7659;999;197,801;58,3023;8,95938;1,1;13,1;448;11511,7;13,6705;13,6705;11,9914;0;0;0;38,1643;0,579337;1,6791
"Jan 31; 03:00 pm";inf;293;393;519,198;1;0,871983;0,990922;1;48,7217;0,37337;48,1611;133,234;203,733;4,48686;34,2585;13,443;308,819;115,304;999;213,186;63,3059;9,57813;1,5;14,5;787;43018,8;47,5847;47,5847;44,8113;0;0;0;115,304;0,659718;2,77342
"Jan 31; 04:00 pm";inf;293;393;454,775;1;0,929982;0,991907;1;40,7155;0,453317;65,0166;124,588;178,454;4,46222;34,1398;13,3965;235,44;106,729;999;226,486;70,7428;9,92188;1,3;15;600;39499,3;43,8382;43,8382;41,1451;0;0;0;106,729;0,757958;2,69316
"Jan 31; 05:00 pm";inf;293;393;441,189;0,596399;0,970387;0,99279;0,65847;31,4206;0,155938;76,5264;49,5716;173,123;4,48193;34,2877;13,4545;202,871;31,6352;999;237,864;79,8807;9,36563;1,8;14,6;517;8855,59;10,845;10,845;9,22457;0;0;0;31,6352;0,853363;1,62038
"Jan 31; 06:00 pm";0;50,001;49,999;22,226;0;0,992643;0,994238;0;22,1674;0;0;0;8,7215;0,166857;0,718138;0,281797;9,4176;0;999;247,83;89,6707;8,85625;2,4;13,7;24;-355,488;0;0;-0,3703;0;0;0;0;0,926085;0,3703
"Jan 31; 07:00 pm";0;50,001;49,999;0;0;1,0026;0,996805;0;12,7326;0;0;0;0;0,168584;0,732194;0,287313;0;0;999;256,985;100,81;8,4125;2,7;13,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,975409;0,3703
"Jan 31; 08:00 pm";0;50,001;49,999;0;0;1,00254;0,999085;0;3,7013;0;0;0;0;0,170003;0,739462;0,290165;0;0;999;265,968;112,29;7,79531;3,7;12,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,997914;0,3703
"Jan 31; 09:00 pm";0;50,001;49,999;0;0;1,00292;0,998871;0;4,56301;0;0;0;0;0,171682;0,75871;0,297718;0;0;999;275,57;123,898;7,15625;3,5;12;0;-355,488;0;0;-0,3703;0;0;0;0;0,99683;0,3703
"Jan 31; 10:00 pm";0;50,001;49,999;0;0;1,00306;0,997085;0;11,6477;0;0;0;0;0,173062;0,783617;0,307491;0;0;999;287,013;135,284;7,20313;2,1;11,5;0;-355,488;0;0;-0,3703;0;0;0;0;0,979407;0,3703
"Jan 31; 11:00 pm";0;50,001;49,999;0;0;0,999292;0,995628;0;17,178;0;0;0;0;0,174694;0,799397;0,313683;0;0;999;302,6;145,841;6,8375;2,3;10,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,955392;0,3703
"Feb 1; 12:00 am";0;50,001;49,999;0;0;0,995133;0,994693;0;20,5692;0;0;0;0;0,176035;0,816819;0,32052;0;0;999;326,674;154,177;6,88437;1,9;10,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,936248;0,3703
"Feb 1; 01:00 am";0;50,001;49,999;0;0;0,993486;0,994386;0;21,6514;0;0;0;0;0,178144;0,839745;0,329516;0;0;998;2,02412;157,39;6,39688;1,9;9,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,929446;0,3703
"Feb 1; 02:00 am";0;50,001;49,999;0;0;0,995333;0,994732;0;20,4302;0;0;0;0;0,180466;0,877218;0,34422;0;0;998;36,4138;153,451;5,8875;0,5;8,7;0;-355,488;0;0;-0,3703;0;0;0;0;0,937098;0,3703
"Feb 1; 03:00 am";0;50,001;49,999;0;0;0,999662;0,99573;0;16,803;0;0;0;0;0,182734;0,886342;0,3478;0;0;998;59,2995;144,757;5,3;2,9;7,8;0;-355,488;0;0;-0,3703;0;0;0;0;0,957304;0,3703
"Feb 1; 04:00 am";0;50,001;49,999;0;0;1,00325;0,997225;0;11,1017;0;0;0;0;0,183725;0,900792;0,353471;0;0;998;74,263;134,057;5,05625;2,3;7,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,981287;0,3703
"Feb 1; 05:00 am";0;50,001;49,999;0;0;1,0026;0,999053;0;3,83024;0;0;0;0;0,18495;0,92029;0,361122;0;0;998;85,4151;122,614;4,55625;1,3;6,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,997766;0,3703
"Feb 1; 06:00 am";0;50,001;49,999;0;0;1,00291;0,998876;0;4,54588;0;0;0;0;0,185677;0,922757;0,36209;0;0;998;94,8934;110,992;4,49062;2,6;6,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,996854;0,3703
"Feb 1; 07:00 am";0;50,001;49,999;0;0;1,00212;0,996572;0;13,6257;0;0;0;0;0,186638;0,935174;0,366962;0;0;998;103,851;99,5231;4,325;2,4;6,2;0;-355,488;0;0;-0,3703;0;0;0;0;0,971855;0,3703
"Feb 1; 08:00 am";0;50,001;49,999;0;0;0,991113;0,993983;0;23,0506;0;0;0;0;0,186638;0,935556;0,367112;0;0;998;113,053;88,6507;4,48125;2,3;6,2;0;-355,488;0;0;-0,3703;0;0;0;0;0,920159;0,3703
"Feb 1; 09:00 am";inf;293;393;214,713;0,740454;0,967485;0,992715;0,706578;32,2931;0,137511;-75,5213;32,0419;84,2533;4,83704;34,4017;13,4992;99,6696;13,7057;998;123,134;78,7127;5,64687;3,2;7,6;254;-363,925;0;0;-0,379089;0;0;0;0;0,845326;0,379089
"Feb 1; 10:00 am";inf;293;393;135,8;1;0,926115;0,991834;1;41,3858;0,267178;-62,9494;37,0456;53,2879;4,749;33,946;13,3204;71,0244;18,9762;998;134,695;69,6864;6,56563;1,9;9,3;181;-370,56;0;0;-0,386;0;13,6927;0;0;0,750275;0,386
"Feb 1; 11:00 am";-nan(ind);293;393;39,2327;1;0,867873;0,990859;1;49,1653;0;-45,7608;10,0196;15,3949;4,69265;33,7576;13,2465;23,544;0;998;148,236;62,4316;7,35312;1,9;10,4;60;-355,488;0;0;-0,3703;0;0;0;0;0,653879;0,3703
"Feb 1; 12:00 pm";inf;293;393;222,949;1;0,805268;0,989953;1;54,719;0,229167;-24,1309;52,7829;87,4851;4,63679;34,2381;13,435;151,466;34,7111;998;163,867;57,6898;8,0625;3,2;11,5;386;-394,516;0;0;-0,410954;0;15,7219;0;0;0,577587;0,410954
"Feb 1; 01:00 pm";inf;293;393;417,487;1;0,777052;0,989572;1;56,6793;0,259085;1,36422;95,3396;163,822;4,57138;34,4111;13,5029;298,224;77,2653;998;180,897;56,1307;8,89375;3;12,8;760;27372,2;30,9445;30,9445;28,5127;0;0;0;77,2653;0,549325;2,43178
"Feb 1; 02:00 pm";inf;293;393;283,274;1;0,810204;0,990021;1;54,3474;0,259555;26,6723;67,4806;111,157;4,53644;34,2644;13,4453;190,706;49,4988;998;197,848;58,0191;9,20313;3,2;13,5;486;16219,8;18,6503;18,6503;16,8956;0;0;0;49,4988;0,582869;1,75467
"Feb 1; 03:00 pm";inf;293;393;349,888;1;0,874027;0,990954;1;48,4965;0,346873;47,923;89,9995;137,296;4,52153;34,6846;13,6102;207,187;71,8677;998;213,295;63,0372;9,425;5,1;13,8;528;25128,2;28,5613;28,5613;26,1752;0;0;0;71,8677;0,662666;2,38608
"Feb 1; 04:00 pm";-nan(ind);293;393;38,7754;1;0,931142;0,991929;1;40,5092;0;64,77;10,6362;15,2155;4,55639;34,2449;13,4377;20,0124;0;998;226,636;70,4946;9,19375;5,1;13,1;51;-355,488;0;0;-0,3703;0;0;0;0;0,760302;0,3703
"Feb 1; 05:00 pm";-nan(ind);293;393;35,9128;0,615313;0,97099;0,992806;0,664738;31,233;0;76,3957;4,20541;14,0922;4,60149;34,2985;13,4587;16,4808;0;998;238,039;79,6539;8,48906;5,3;12,2;42;-355,488;0;0;-0,3703;0;0;0;0;0,855066;0,3703
"Feb 1; 06:00 pm";0;50,001;49,999;0;0;0,992962;0,994294;0;21,9747;0;0;0;0;0,174152;0,772284;0,303044;0;0;998;248,024;89,5097;7,81875;6;11,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,927349;0,3703
"Feb 1; 07:00 pm";0;50,001;49,999;0;0;1,0027;0,996856;0;12,5357;0;0;0;0;0,175232;0,782525;0,307063;0;0;998;257,195;100,61;7,96562;6,5;10,7;0;-355,488;0;0;-0,3703;0;0;0;0;0,976161;0,3703
"Feb 1; 08:00 pm";0;50,001;49,999;0;0;1,00243;0,999136;0;3,49439;0;0;0;0;0,176566;0,803329;0,315226;0;0;998;266,199;112,097;7,3875;5,3;10,2;0;-355,488;0;0;-0,3703;0;0;0;0;0,998141;0,3703
"Feb 1; 09:00 pm";0;50,001;49,999;0;0;1,00301;0,998816;0;4,78457;0;0;0;0;0,177621;0,818301;0,321101;0;0;998;275,827;123,704;7,37813;4,7;9,8;0;-355,488;0;0;-0,3703;0;0;0;0;0,996515;0,3703
"Feb 1; 10:00 pm";0;50,001;49,999;0;0;1,00297;0,997023;0;11,8864;0;0;0;0;0,178665;0,829614;0,32554;0;0;998;287,303;135,079;7,13437;4,9;9,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,978558;0,3703
"Feb 1; 11:00 pm";0;50,001;49,999;0;0;0,999028;0,995559;0;17,4346;0;0;0;0;0,179955;0,847389;0,332516;0;0;998;302,912;145,61;7,65;4,3;8,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,95406;0,3703
"Feb 2; 12:00 am";0;50,001;49,999;0;0;0,99474;0,994618;0;20,8373;0;0;0;0;0,180721;0,858594;0,336912;0;0;998;326,907;153,907;7,74063;3,8;8,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,934594;0,3703
"Feb 2; 01:00 am";0;50,001;49,999;0;0;0,993049;0,994309;0;21,9221;0;0;0;0;0,181228;0,868219;0,340689;0;0;998;1,92258;157,105;7,4625;3;8,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,927692;0,3703
"Feb 2; 02:00 am";0;50,001;49,999;0;0;0,994941;0,994656;0;20,7015;0;0;0;0;0,181481;0,877605;0,344372;0;0;998;36,0412;153,214;7,3625;1,8;8,3;0;-355,488;0;0;-0,3703;0;0;0;0;0,935435;0,3703
"Feb 2; 03:00 am";0;50,001;49,999;0;0;0,999396;0,995657;0;17,0738;0;0;0;0;0,181733;0,885226;0,347363;0;0;998;58,9115;144,572;7,41875;1,1;8,2;0;-355,488;0;0;-0,3703;0;0;0;0;0,955927;0,3703
"Feb 2; 04:00 am";0;50,001;49,999;0;0;1,00316;0,997157;0;11,3662;0;0;0;0;0,181984;0,87483;0,343283;0;0;998;73,9224;133,9;7,39688;3,5;8,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,980388;0,3703
"Feb 2; 05:00 am";0;50,001;49,999;0;0;1,00272;0,99899;0;4,08516;0;0;0;0;0,182485;0,882063;0,346122;0;0;998;85,1169;122,469;7,275;3,2;7,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,997459;0,3703
"Feb 2; 06:00 am";0;50,001;49,999;0;0;1,00281;0,998937;0;4,30032;0;0;0;0;0,183478;0,892695;0,350294;0;0;998;94,6249;110,846;7,34375;3,5;7,5;0;-355,488;0;0;-0,3703;0;0;0;0;0,997185;0,3703
"Feb 2; 07:00 am";0;50,001;49,999;0;0;1,00226;0,996634;0;13,3871;0;0;0;0;0,182734;0,882953;0,346471;0;0;998;103,603;99,3688;7,64375;3,7;7,8;0;-355,488;0;0;-0,3703;0;0;0;0;0,972828;0,3703
"Feb 2; 08:00 am";0;50,001;49,999;0;0;0,991532;0,994051;0;22,8151;0;0;0;0;0,182235;0,87168;0,342047;0;0;998;112,818;88,5017;7,76563;5,1;8;0;-355,488;0;0;-0,3703;0;0;0;0;0,921761;0,3703
"Feb 2; 09:00 am";0;50,001;49,999;5,93224;0,754036;0,968265;0,992735;0,711139;32,0633;0,143191;-75,4258;0,908082;2,32781;0,180975;0,850639;0,333791;2,7468;0,393317;998;122,912;78,5223;8,34375;6,8;8,5;7;-355,488;0;0;-0,3703;0;0;0;0;0,847462;0,3703
"Feb 2; 10:00 am";0;50,001;49,999;0;1;0,927544;0,991861;1;41,1411;0;-62,7788;0;0;0,179183;0,832501;0,326673;0;0;998;134,492;69,4681;8,73125;5,7;9,2;0;-355,488;0;0;-0,3703;0;0;0;0;0,753091;0,3703
"Feb 2; 11:00 am";0;50,001;49,999;0;1;0,870267;0,990896;1;48,9084;0;-45,6154;0;0;0,178665;0,824365;0,323481;0;0;998;148,067;62,1833;9,00937;6,2;9,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,657264;0,3703
"Feb 2; 12:00 pm";0;50,001;49,999;0;1;0,808858;0,990002;1;54,4497;0;-24,0607;0;0;0,177621;0,811893;0,318587;0;0;998;163,756;57,4151;9,33125;6,2;9,8;0;-355,488;0;0;-0,3703;0;0;0;0;0,581418;0,3703
"Feb 2; 01:00 pm";0;50,001;49,999;0,553267;1;0,78118;0,989627;1;56,4086;0;1,30459;0,127025;0,217102;0,175232;0,781264;0,306568;0,3924;0;998;180,866;55,8414;9,7625;6,8;10,7;1;-355,488;0;0;-0,3703;0;0;0;0;0,553267;0,3703
"Feb 2; 02:00 pm";0;50,001;49,999;1,75943;1;0,813518;0,990067;1;54,0926;0;26,4929;0,42086;0,690401;0,173608;0,763787;0,29971;1,1772;0;998;197,9;57,732;9,89375;6,5;11,3;3;-355,488;0;0;-0,3703;0;0;0;0;0,586477;0,3703
"Feb 2; 03:00 pm";0;50,001;49,999;0,66569;1;0,876101;0,990986;1;48,2647;0;47,6871;0,171643;0,261217;0,172512;0,755154;0,296322;0,3924;0;998;213,412;62,7656;9,78594;5,7;11,7;1;-355,488;0;0;-0,3703;0;0;0;0;0,66569;0,3703
"Feb 2; 04:00 pm";0;50,001;49,999;0,762709;1;0,932324;0,991952;1;40,2964;0;64,524;0,209483;0,299287;0,173335;0,754903;0,296224;0,3924;0;998;226,793;70,2444;10,15;7,8;11,4;1;-355,488;0;0;-0,3703;0;0;0;0;0,762709;0,3703
"Feb 2; 05:00 pm";0;50,001;49,999;10,2818;0,634263;0,971606;0,992822;0,671009;31,0393;0,165884;76,2649;1,2536;4,03456;0,173335;0,762365;0,299152;4,7088;0,781116;998;238,221;79,4258;10,15;6,2;11,4;12;-355,488;0;0;-0,3703;0;0;0;0;0,856814;0,3703
"Feb 2; 06:00 pm";0;50,001;49,999;0,928642;0;0,993286;0,994351;0;21,7759;0;0;0;0,364399;0,174423;0,782851;0,307191;0,3924;0;998;248,224;89,3423;10,1406;4,5;11;1;-355,488;0;0;-0,3703;0;0;0;0;0,928642;0,3703
"Feb 2; 07:00 pm";0;50,001;49,999;0;0;1,00279;0,996908;0;12,3329;0;0;0;0;0,175768;0,795045;0,311976;0;0;998;257,412;100,41;9,17188;5,1;10,5;0;-355,488;0;0;-0,3703;0;0;0;0;0,976923;0,3703
"Feb 2; 08:00 pm";0;50,001;49,999;0;0;1,00232;0,999189;0;3,28163;0;0;0;0;0,176831;0,805518;0,316085;0;0;998;266,436;111,904;8,85;5,5;10,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,99836;0,3703
"Feb 2; 09:00 pm";0;50,001;49,999;0;0;1,00309;0,99876;0;5,01192;0;0;0;0;0,178405;0,831637;0,326334;0;0;998;276,091;123,509;8,40625;3,8;9,5;0;-355,488;0;0;-0,3703;0;0;0;0;0,996177;0,3703
"Feb 2; 10:00 pm";0;50,001;49,999;0;0;1,00287;0,99696;0;12,1309;0;0;0;0;0,179698;0,849516;0,33335;0;0;998;287,599;134,873;8,45313;3,2;9;0;-355,488;0;0;-0,3703;0;0;0;0;0,97767;0,3703
"Feb 2; 11:00 pm";0;50,001;49,999;0;0;0,998751;0,995488;0;17,6968;0;0;0;0;0,180975;0,8673;0,340329;0;0;998;303,229;145,378;8,03125;2,6;8,5;0;-355,488;0;0;-0,3703;0;0;0;0;0,952678;0,3703
"Feb 3; 12:00 am";0;50,001;49,999;0;0;0,994329;0,99454;0;21,1108;0;0;0;0;0,182235;0,891579;0,349856;0;0;998;327,146;153,633;7,76563;1;8;0;-355,488;0;0;-0,3703;0;0;0;0;0,932886;0,3703
"Feb 3; 01:00 am";0;50,001;49,999;0;0;0,992592;0,99423;0;22,198;0;0;0;0;0,183725;0,909784;0,356999;0;0;998;1,83141;156,814;7,16563;0,8;7,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,925884;0,3703
"Feb 3; 02:00 am";0;50,001;49,999;0;0;0,994532;0,994578;0;20,9769;0;0;0;0;0,185677;0,933344;0,366244;0;0;998;35,6759;152,97;6,44375;0,6;6,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,933725;0,3703
"Feb 3; 03:00 am";0;50,001;49,999;0;0;0,999118;0,995582;0;17,348;0;0;0;0;0,187352;0,954015;0,374355;0;0;998;58,5252;144,379;5,74375;0,4;5,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,954511;0,3703
"Feb 3; 04:00 am";0;50,001;49,999;0;0;1,00307;0,997089;0;11,6333;0;0;0;0;0,188295;0,965659;0,378925;0;0;998;73,5813;133,737;5,34375;0,3;5,5;0;-355,488;0;0;-0,3703;0;0;0;0;0,979458;0,3703
"Feb 3; 05:00 am";0;50,001;49,999;0;0;1,00283;0,998926;0;4,34226;0;0;0;0;0,189229;0,981424;0,385111;0;0;998;84,8172;122,317;4,94375;0;5,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,99713;0,3703
"Feb 3; 06:00 am";0;50,001;49,999;0;0;1,0027;0,998998;0;4,05291;0;0;0;0;0,189692;0,982604;0,385574;0;0;998;94,3547;110,694;4,74375;0,2;4,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,997499;0,3703
"Feb 3; 07:00 am";0;50,001;49,999;0;0;1,00239;0,996697;0;13,1468;0;0;0;0;0,190382;0,989753;0,388379;0;0;998;103,352;99,2088;4,44375;0,3;4,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,973791;0,3703
"Feb 3; 08:00 am";0;50,001;49,999;0;0;0,991946;0,99412;0;22,5778;0;0;0;0;0,190382;0,989753;0,388379;0;0;998;112,582;88,346;4,44375;0,3;4,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,923359;0,3703
"Feb 3; 09:00 am";0;50,001;49,999;39,9312;0,76807;0,969039;0,992755;0,715844;31,8319;0,309516;-75,3272;6,27259;15,669;0,187825;0,959298;0,376428;18,4428;5,70834;998;122,689;78,3263;5,54375;0,6;5,7;47;-355,488;0;0;-0,3703;0;0;0;0;0,849599;0,3703
"Feb 3; 10:00 am";inf;293;393;334,873;1;0,928966;0,991888;1;40,8941;0,422168;-62,6023;91,638;131,404;4,83704;34,1846;13,4141;173,833;73,3869;998;134,288;69,2441;7,05312;1,4;7,6;443;20617;23,3502;23,3502;21,4761;0;0;0;60,106;0,755921;1,87412
"Feb 3; 11:00 am";inf;293;393;498,811;1;0,872651;0,990933;1;48,6485;0,370925;-45,4638;128,101;195,734;4,74386;34,3184;13,4665;296,262;109,891;998;147,898;61,9294;7,44687;1,3;9,4;755;40795,6;45,2179;45,2179;42,4954;0;0;0;109,891;0,660677;2,72251
"Feb 3; 12:00 pm";inf;293;393;218,314;1;0,812435;0,990052;1;54,1764;0,233611;-23,9839;52,1508;85,6664;4,69776;33,7933;13,2605;146,365;34,1926;998;163,647;57,135;7,95625;1,1;10,3;373;9895,46;11,9467;11,9467;10,3078;0;0;0;34,1926;0,585292;1,63889
